limitname,max_value,remaining_value,eventdate
DailyBulkApiBatches,15000,8454,2021-06-26 10:12:10
DailyBulkApiBatches,15000,9167,2021-06-26 11:13:07
DailyBulkApiBatches,15000,9540,2021-06-26 12:14:14
DailyBulkApiBatches,15000,10625,2021-06-26 13:13:27
DailyBulkApiBatches,15000,10630,2021-06-26 14:14:26
DailyBulkApiBatches,15000,10280,2021-06-26 15:13:52
DailyBulkApiBatches,15000,10269,2021-06-26 16:13:28
DailyBulkApiBatches,15000,9915,2021-06-26 17:13:05
DailyBulkApiBatches,15000,9422,2021-06-26 18:14:25
DailyBulkApiBatches,15000,9372,2021-06-26 19:13:09
DailyBulkApiBatches,15000,9577,2021-06-26 20:12:56
DailyBulkApiBatches,15000,9446,2021-06-26 21:11:51
DailyBulkApiBatches,15000,8960,2021-06-26 22:12:58
DailyBulkApiBatches,15000,8483,2021-06-26 23:14:14
DailyBulkApiBatches,15000,9073,2021-06-27 00:15:34
DailyBulkApiBatches,15000,8598,2021-06-27 01:14:18
DailyBulkApiBatches,15000,8126,2021-06-27 02:13:30
DailyBulkApiBatches,15000,7636,2021-06-27 03:13:47
DailyBulkApiBatches,15000,7171,2021-06-27 04:13:44
DailyBulkApiBatches,15000,7057,2021-06-27 05:13:48
DailyBulkApiBatches,15000,6561,2021-06-27 06:13:54
DailyBulkApiBatches,15000,6107,2021-06-27 07:11:47
DailyBulkApiBatches,15000,5609,2021-06-27 08:13:34
DailyBulkApiBatches,15000,5145,2021-06-27 09:12:07
DailyBulkApiBatches,15000,5002,2021-06-27 10:13:27
DailyBulkApiBatches,15000,5640,2021-06-27 13:13:14
DailyBulkApiBatches,15000,5504,2021-06-27 14:13:12
DailyBulkApiBatches,15000,5388,2021-06-27 15:13:58
DailyBulkApiBatches,15000,5380,2021-06-27 16:13:42
DailyBulkApiBatches,15000,5479,2021-06-27 17:13:13
DailyBulkApiBatches,15000,5593,2021-06-27 18:14:10
DailyBulkApiBatches,15000,5349,2021-06-27 19:13:56
DailyBulkApiBatches,15000,5473,2021-06-27 20:13:26
DailyBulkApiBatches,15000,5590,2021-06-27 21:13:36
DailyBulkApiBatches,15000,5715,2021-06-27 22:11:46
DailyBulkApiBatches,15000,5811,2021-06-27 23:13:36
DailyBulkApiBatches,15000,5930,2021-06-28 00:15:24
DailyBulkApiBatches,15000,6052,2021-06-28 01:14:02
DailyBulkApiBatches,15000,6170,2021-06-28 02:14:21
DailyBulkApiBatches,15000,6292,2021-06-28 03:14:26
DailyBulkApiBatches,15000,6418,2021-06-28 04:14:03
DailyBulkApiBatches,15000,6540,2021-06-28 05:13:31
DailyBulkApiBatches,15000,6641,2021-06-28 06:14:53
DailyBulkApiBatches,15000,6775,2021-06-28 07:13:27
DailyBulkApiBatches,15000,6883,2021-06-28 08:15:25
DailyBulkApiBatches,15000,7014,2021-06-28 09:14:15
